Ticket_ID,Call_Type_ID,Call_Type,Create_Date,gateway,Jenis_Laporan,Nama_Nasabah,No_Rekening,Nominal,status,TanggalClosed,tanggalTransaksi,Chanel,Fitur,Nomor_Kartu,user_group,assgined_to,attachment_done,email,full_name,no_telepon,approver_login,approver_name,SLAResolution,submitter_login_id,submitter_user_group,user_login_name,Jenis_Produk,Last_Modified_By,Merchant_ID,Modified_Date,NOTAS,Produk,SLA_Status,TID,tanggalAttachmentDone,Tgl_Assigned,Tgl_Eskalasi,AnalisaSkils,Attachment_,Bank_BRI,Biaya_Admin,Suku_Bunga,Bunga,Butuh_Attachment,Cicilan,Hasil_Kunjungan,Log_Name,MMS_Ticket_Id,Mass_Ticket_Upload_Flag,Nama_Supervisor,Nama_TL,Nama_Wakabag,Nasabah_Prioritas,Notify_By,Organization,Output_Settlement,phone_survey,Return_Ticket,Settlement_By,Settlement_ID,Settlement,Site_User,Status_Return,Status_Transaksi,Submitter_Region,Submitter_SiteGroup,Submitter_User_group_ID,Tanggal_Settlement,Tgl_Foward,Tgl_In_Progress,Tgl_Returned,Ticket_Referensi,Tiket_Urgency,Tipe_Remark,UniqueID,users,Usergroup_ID
TTB000043833835,8701,Blokir Kartu ATM karena kartu hilang,2023-01-01 07:07:15,Phone,Request,Anwar,123456789012345,0.0,Closed,,,,Blokir Kartu,5221234567890120.0,LCC-CCTCALL,,,,Meli Rahayu,81234567890.0,,,20,60872,LCC-CCTCALL,Meli Rahayu,Kartu Debit,60872,,,,Servicing,Met,,,,,,,BRI,,,,No,,,Meli Rahayu .,,No,Dika Purwarini,,,No,,Bank BRI,,,,,,No,00196 -- KANWIL Semarang,,,Semarang,KANWIL Semarang,4,,,,,,,Notes,,Call,4
TTB000043833951,8202,Informasi Product Banking,2023-01-01 07:06:39,Phone,Products / Promotion Inquiry,Budi,123456789012345,0.0,Closed,,,,,,LCC-CCTCALL,,,,Warsiyah,180.0,90022934.0,Adhi Nitidharma,20,90121799,LCC-CCTCALL,Warsiyah,"Informasi Promo, Program, Produk",90121799,,,,Servicing,Met,,,,,,No,BRI,1672531599.0,,,No,,,,,No,,,,No,,Bank BRI,,,,,,No,00229 -- Kas Kanpus,,,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,4
TTB000043833734,8701,Blokir Kartu ATM karena kartu hilang,2023-01-01 07:05:16,Phone,Request,Ceshy,123456789012345,0.0,Closed,,,,Blokir Kartu,5221234567890120.0,LCC-CCTCALL,,,,Dian Pratiwi,81234567890.0,,,20,60757,LCC-CCTCALL,Dian Pratiwi,Kartu Debit,60757,,,,Servicing,Met,,,,,,,BRI,,,,No,,,Dian Pratiwi .,,No,Dika Purwarini,,,No,,Bank BRI,,,,,,No,00196 -- KANWIL Semarang,,,Semarang,KANWIL Semarang,4,,,,,,,Notes,,Call,4
TTB000043833965,8413,Nasabah BRI gagal tarik tunai & terdebet di ATM Link,2023-01-01 07:04:46,Phone,Complaint - Transaction,Dion Fury,123456789012345,2500000.0,Closed,,,ATM BANK LAIN,Tarik Tunai-Terdebet,5221234567890120.0,LCC-ISSUER,,,,Adam Siraj,81234567890.0,,,14,90150225,LCC-CCTCALL,Adam Siraj,Transaction Solution,bricare_admin,,,,Transaction Banking,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,,,,No,,Bank BRI,Insert Ticket Berhasil,,,428,,Yes,00229 -- Kas Kanpus,,Berhasil,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,1
TTB000043833833,8602,BRIMO,2023-01-01 07:04:38,Phone,Platform & Device Support,Erna Mira Putri,,0.0,Closed,,,Aplikasi,Registrasi BRImo,,LCC-CCTCALL,,,,Aulia Giyan Franciska,81234567890.0,90022934.0,Adhi Nitidharma,20,90150406,LCC-CCTCALL,Aulia Giyan Franciska,Mobile Banking,90150406,,,,Servicing,Met,,,,,,Yes,BRI,1672531478.0,,,No,,,,,No,,,,,,Bank BRI,,,,,,No,00229 -- Kas Kanpus,,,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,4
TTB000043833961,8701,Blokir Kartu ATM karena kartu hilang,2023-01-01 07:04:22,Phone,Request,Ferry,123456789012345,0.0,Closed,,,,Blokir Kartu,5221234567890120.0,LCC-CCTCALL,,,,Arnis Istiqomah,81234567890.0,90022934.0,Adhi Nitidharma,20,90144459,LCC-CCTCALL,Arnis Istiqomah,Kartu Debit,90144459,,,,Servicing,Met,,,,,,No,BRI,1672531462.0,,,No,,,,,No,,,,No,,Bank BRI,,,,,,No,00229 -- Kas Kanpus,,,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,4
TTB000043833968,8413,Nasabah BRI gagal tarik tunai & terdebet di ATM Link,2023-01-01 07:04:13,Phone,Complaint - Transaction,Ghany,123456789012345,1200000.0,Closed,,,ATM BANK LAIN,Tarik Tunai-Terdebet,5221234567890120.0,LCC-ISSUER,,,,Miranda Anggraini,81234567890.0,,,14,90151655,LCC-CCTCALL,Miranda Anggraini,Transaction Solution,bricare_admin,,,,Transaction Banking,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,,,,No,,Bank BRI,Insert Ticket Berhasil,,,428,,Yes,00229 -- Kas Kanpus,,Gagal,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,1
TTB000043833831,8201,Informasi Status rekening; limitasi; penyetoran; no rekening tujuan,2023-01-01 07:03:06,Phone,Inquiry,Husni,,0.0,Closed,,,EDC,Informasi,,LCC-CCTCALL,,,,DINAR TRI WAHYUNI,81234567890.0,90022934.0,Adhi Nitidharma,20,90140018,LCC-CCTCALL,DINAR TRI WAHYUNI,Tabungan,90140018,,,,Savings,Met,,,,,,No,BRI,1672531386.0,,,No,,,,,No,,,,,,Bank BRI,,,,,,No,00229 -- Kas Kanpus,,,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,4
TTB000043833996,8915,Gagal Setor Tunai di CRM BRI Via BRImo / Kartu Debit,2023-01-01 07:10:20,BRIMO,Complaint - Transaction,Irwan,123456789012345,300000.0,Closed,,,CRM,Setor Tunai - gagal dengan Kartu Debit,5221234567890120.0,LCC-ON US,,,,,81234567890.0,,,10,,,,Transaction Solution,bricare_admin,,,,Transaction Banking,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Indri Edriati,,,,,Bank BRI,Insert Ticket Berhasil,,,ADMIN_DRONE,,Yes,,,Gagal,,,4,,,,,,,Notes,NBMB496204765772,Non Call,6
TTB000043833840,8808,Pembayaran PLN Prabayar Gagal namun Saldo Terdebet,2023-01-01 07:09:47,Phone,Complaint - Transaction,Jordi,123456789012345,0.0,Closed,,,ATM,Transaksi,5221234567890120.0,LCC-ISSUER,,,,Maya Ikhlasiyah,,,,20,90121639,LCC-CCTCALL,Maya Ikhlasiyah,Transaction Solution,90121639,,,,Transaction Banking,Met,,,,,,No,BRI,1672531787.0,,,No,,,,,No,,,,No,,Bank BRI,,,,,,Yes,00229 -- Kas Kanpus,,,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,1
