"Analisa Skill","Tgl Assigned","Assignee","AssigneeGroupLeaderID","Attachment","AttachmentDone","PIC","Butuh Attachment","Butuh Eskalasi ke BRISolutions","Call Type ID","Call Type","Case Number","Charge Fee","Close Date","CountAgeAttachmentNull","Create Date (Legacy)","Current GIC","Customer Feedback","Date re-check","Description","Email Assignee","Email Kabag","Email Supervisor","Email Wakabag","Escalated Date","Fitur","FlagAutoClosedTicketAttachment","Formulir Detail","Forwad Date","Gateway","GIC","Handling Time","Hasil Kunjungan","Hasil Penelitian","Tgl In Progress","IsAttachmentDone?","Jenis Produk","Jenis CallType","Jenis Produk 1 LKPBU","Jenis Produk 2 LKPBU","Jenis Transaksi LKPBU","JP LKPBU 2","Kabag Login ID","Kategori Permasalahan LKPBU","KIP Date","> 40  Hari Kerja","Legacy Ticket ID","Level","Max 20 HK","Max 40 HK","Merchant ID","Nama Kabag","Nama Supervisor","Nama Wakabag","Nominal","Notes","Notify By","Case Origin","Case Owner","Penyebab Pengaduan 2 LKPBU","Penyebab Pengaduan LKPBU","Phone Survey","Pickup Date","PP LKPBU 2","re-check dokument","RecordTypeId","Returned","Search Call Type","Site User","SLA Status","Status","Status LKPBU","Sub Type","Submitter Login ID","SupervisorLoginId","SuppliedName","Tanggal","TanggalAttachmentDone","TID","Tiket Urgency","Top Call Type","Type","SuppliedPhone","SuppliedEmail","User","User Group","User Login Name","User re-check","Usergroup ID","Wakabag Login Id","Social Persona","DATE IN","KIP NAME"
"point","2020-06-16 22:07:30.660469","RPA Sosial Media","58644487","because","color","Christine Gonzalez","understand","rise","67163575","pressure","18298","66600","2022-10-16","amount","2022-12-24","however","78167","2023-07-30","Station either scene attention side clear.","reyesamanda@example.com","clarkchase@example.org","dlong@example.net","tgomez@example.org","2023-11-06","food","family","USCGC Rodriguez
FPO AP 28459","2022-11-26","Twitter (X)","his","2020-03-18 05:40:51.852098","writer","he","2022-06-26 11:18:59.446469","front","company","Banking","capital","feeling","natural","area","73018244","floor","2024-01-22","police","5595143","Admin BRICare","money","bit","47824104","one","state","short","46978","Sing popular work scene too beyond kitchen office position.","Email","human","form","live","anything","(414)296-4059","2023-03-03","seek","during","miss","poor","medical","sharpmary","Missed","In Progress","institution","assume","13233733","change","Michael Weaver","who","sign","69362760","live","believe","Escalation Ticket","8106168260","ballen@example.org","Call","nataliemcdonald","Jonathan Stevens","angelachen","4652452","soldier","able","community","young"
"instead","2024-02-26 02:55:47.855545","Agent Sosmed 1","70305566","participant","win","Robert Cooper","seek","student","7283339","finally","20387","59027","2023-04-11","hotel","2022-11-04","certainly","21963","2023-01-18","Democratic reduce them anyone minute study other.","brittany05@example.org","john21@example.org","nathanrobinson@example.net","emartinez@example.com","2023-12-27","perhaps","respond","USNV Brown
FPO AA 44558","2022-06-01","Media Umum Lainya","per","2020-03-01 04:37:42.267257","project","beyond","2020-08-16 07:33:26.440442","stop","son","Kartu Kredit","ok","edge","yeah","player","99373213","factor","2023-05-13","way","43008823","Staff","peace","different","49318766","Democrat","different","word","37301","Person list yourself system across degree.","None","different","address","kind","class","6569883691","2022-12-29","ok","paper","speech","teacher","international","brianbrown","Met","Not Used","citizen","peace","26884034","world","Christopher Mcbride","her","free","1452599","defense","factor","CHs Status Update","+1-314-715-2321","djenkins@example.org","Non call","ashleyfisher","Mary Mann","petersenandrea","81161376","summer","describe","able","knowledge"
"ready","2020-10-02 10:36:31.398963","Agent Sosmed 2","27364789","among","recently","Mary Good","wear","unit","51430153","change","95733","66942","2022-08-19","exactly","2023-07-09","exist","13505","2023-08-17","Join soon free physical buy deal follow network paper blood.","nicholasclark@example.org","billy17@example.com","rachel72@example.org","wendymcdaniel@example.net","2023-02-08","fine","walk","7710 Perez Dam Suite 338
New Timothymouth, KY 10169","2023-06-05","Media Online","concern","2020-09-09 10:45:45.212664","generation","forward","2020-12-15 15:36:09.080084","born","lawyer","Kartu Kredit","create","house","available","agree","8898072","else","2023-01-28","blood","64741270","Kabag","poor","painting","838905","rich","loss","hospital","1115","Like successful job history fine would various full need true imagine.","None","send","say","well","base","842-371-9612x41937","2023-03-04","level","front","cell","whole","end","psmith","In Progress","Not Used","discussion","to","27049566","weight","Robin Reynolds MD","discussion","herself","90619944","scientist","matter","Update Status Draft New","001-623-876-4426x3371","jeffrey52@example.net","Non call","smithcurtis","Adam Taylor","calebwells","16449671","really","add","day","federal"
"no","2023-11-16 09:42:01.686004","Agent Sosmed 5","76430072","station","although","Nicole Hudson","fish","point","31642195","face","94991","28884","2022-08-08","rock","2022-10-13","these","39432","2022-12-27","Customer believe give later five social drug raise firm rather watch.","blakebobby@example.com","krista77@example.com","erin55@example.net","garrettvega@example.org","2023-08-16","avoid","catch","Unit 3262 Box 1977
DPO AP 41077","2022-12-18","PKSS Oten","clearly","2023-08-17 18:34:13.515467","party","him","2024-03-19 20:15:42.674777","institution","later","Kartu Kredit","early","reveal","appear","career","76308221","finish","2023-05-04","miss","6684601","Agent","arrive","effect","97872183","fly","enough","listen","11538","Herself fish top blood attack report condition like interesting national your ago during.","Email","quite","laugh","professional","hour","3113508196","2023-07-01","career","account","partner","thousand","sell","lindsey68","In Progress","Closed","yeah","yet","12519961","senior","Holly Wright","return","can","84410094","against","side","Update Status Draft New","(891)949-9096","charles97@example.net","Call","mejiabonnie","Bryan Avery","brownsamantha","22431054","responsibility","full","provide","young"
"be","2021-01-20 16:26:43.646381","RPA Sosial Media","501257","order","reality","Susan Collins","economy","expert","39801329","indicate","14834","21327","2023-11-21","cover","2023-05-12","authority","35773","2023-06-13","Task election security child thousand always owner body political between.","dawncohen@example.net","tmendez@example.org","nathan78@example.org","howardruben@example.net","2023-09-18","fight","nature","10503 Orr Glen Suite 144
Whitakerville, AZ 35932","2022-09-20","MMS","house","2020-08-15 06:06:58.506386","past","order","2023-12-07 21:19:25.367035","natural","strategy","Kartu Kredit","send","serious","attorney","coach","2850442","serve","2023-05-26","condition","56730935","Team Leader","remember","particular","72168213","lawyer","general","reveal","71268","Company camera among certain kid friend young home.","Email","line","budget","stock","soldier","+1-698-976-6972x32776","2022-08-07","bad","wonder","coach","Mr","moment","daniel91","Met","Return","meeting","nice","49728308","exactly","Robert Burton","choose","recently","77287784","simple","claim","Escalation Ticket Double","590.725.3721x504","rcrawford@example.com","Non call","jonesalexis","Chelsea Diaz","alyssafigueroa","27852456","whom","share","test","between"
"poor","2022-04-28 09:28:50.369907","Agent Sosmed 5","20942284","analysis","crime","Jeremy Miller","air","sure","99559499","nor","90713","72071","2023-01-03","station","2023-10-27","gun","72316","2023-02-12","Music court spend by agreement goal.","ramseychristian@example.net","ronaldellis@example.org","adrianhoward@example.org","jjohnson@example.org","2023-06-20","true","old","0912 Livingston Dam Apt. 863
North Dennisborough, PA 33983","2024-01-28","BRIPENS","push","2020-09-24 10:57:30.545855","final","draw","2020-05-10 04:00:51.663975","new","think","Kartu Kredit","stock","us","allow","modern","82884732","meeting","2023-04-08","officer","50530461","Admin (CRS)","news","ok","57082008","environmental","professional","interview","39765","Consider theory pay these behavior wrong receive operation.","None","woman","stop","now","technology","563-741-1768","2023-09-18","will","everything","program","nation","strong","molinatravis","In Progress","Closed","radio","present","17674446","scientist","Joy Spears","might","enjoy","10582957","project","recent","Notes","+1-390-718-1220x7381","nicolemoss@example.com","Non call","ernest26","Samantha Davis","carlos59","29036454","page","institution","top","fact"
"wait","2021-11-12 21:33:02.252146","Agent Sosmed 1","50154567","opportunity","usually","Cynthia Clark","maybe","soldier","53955994","north","13943","95945","2023-01-14","add","2024-01-17","career","9922","2022-03-29","Surface direction statement ask effect relationship card wind.","garrettjared@example.com","moonkayla@example.com","shelbyweber@example.net","joshuacurtis@example.org","2023-08-04","real","lot","5414 Lauren Island
West Stephanie, SC 18859","2024-03-09","MMS","everything","2020-05-04 10:30:50.175377","life","nothing","2022-04-07 16:16:53.059696","remain","morning","Kartu Kredit","civil","step","leader","southern","85097128","dinner","2023-04-04","card","85534984","Supervisor","up","Mrs","1528260","clearly","financial","memory","16057","Spring really age Congress despite nice water plan business option grow.","None","company","trouble","turn","perhaps","+1-504-561-0924x989","2024-02-11","white","read","industry","pick","area","xmclean","Met","Not Used","role","ahead","78200372","point","Tiffany Clark","me","in","71047862","ball","soon","Update Detail","971-930-9536","ericksonronald@example.net","Non call","irodriguez","Deborah Porter","gregorycharles","1418675","with","local","order","business"
"social","2021-02-24 00:15:56.780921","Nama Pekerja + PN dari tiap GIC (User Group)","20981243","herself","road","Michelle Bender","somebody","trip","49069928","book","1274","75684","2022-08-07","resource","2022-05-09","administration","56982","2022-10-13","Question design seven cold old safe environment thing large begin behind score.","seth98@example.net","katherinehill@example.org","richardrobertson@example.net","gregory10@example.org","2022-04-16","require","sure","859 Christina Skyway Apt. 043
Snyderburgh, ID 13491","2022-08-10","Webchat","test","2021-06-19 16:32:43.339438","project","go","2021-04-21 14:47:09.916472","east","century","Kartu Kredit","stock","detail","name","together","40298010","should","2023-05-27","water","46796341","Admin (CRS)","modern","policy","97414928","raise","trip","foreign","13755","Case trip wear economic soon marriage chance black term with.","Email","wide","home","whose","several","001-626-628-1494","2023-10-30","size","moment","third","onto","simply","cheyennenorman","Missed","Not Used","politics","fire","27831077","turn","Tyler Gallagher","two","sit","95039915","party","official","Incident","+1-260-694-2032x375","donaldstevenson@example.org","Call","jasmine99","Miranda Wood","leethomas","87115923","employee","its","well","season"
"available","2021-06-03 13:27:45.704479","Assign to Support","45516040","measure","girl","Kyle Garner","occur","customer","66843523","there","95284","5028","2023-01-23","former","2023-11-06","model","222","2023-11-09","Down not test region visit time finish particular score appear bring start night.","patriciamorris@example.com","natashamcgee@example.org","pperez@example.org","steven23@example.com","2022-09-09","name","interview","5701 Katrina Mill
West Ashleymouth, ID 42318","2022-12-26","MMS","send","2020-05-25 13:50:49.678898","leave","beautiful","2021-11-22 19:06:53.952492","car","third","Kartu Kredit","chair","something","simply","lay","87476812","do","2023-02-04","and","48047505","Unit Kerja","go","else","91120727","rate","body","hand","21249","Her short station have mean safe.","Email","stuff","theory","article","remain","+1-700-854-5639x5951","2022-11-29","fund","police","item","tell","together","patricia28","Missed","New","any","really","69101309","understand","Robin Mcgee","news","join","78089947","wish","deal","Update Nama","288-521-5929x8285","paul79@example.org","Call","michelleingram","Michelle Parker","joshuacunningham","38919962","read","party","another","today"
"mouth","2024-03-18 02:36:26.302152","Agent Sosmed 5","74858107","thus","program","Kimberly Rodriguez","easy","we","7903716","where","51518","53810","2023-05-01","let","2023-03-17","know","35814","2023-10-11","Whether race environmental generation add sense policy.","iburgess@example.org","jamessmith@example.com","uhunter@example.net","owenalexandra@example.net","2022-08-16","Mrs","those","715 Sanders Bypass Suite 682
Dodsonfort, KS 83571","2023-02-21","Pesan IB","establish","2020-06-30 04:51:30.262912","thus","friend","2023-11-02 19:58:56.935890","law","left","Kartu Kredit","local","issue","alone","race","82118964","animal","2022-05-04","piece","61508801","Supervisor","role","hundred","5450594","it","agree","baby","65110","Everything former your state why wall difficult help.","Email","store","collection","son","per","001-401-866-4754x0936","2022-06-24","pick","against","boy","hot","church","andre13","Met","Assignee","safe","surface","35985489","resource","Christopher Bernard","officer","if","9710972","environmental","friend","Case Closed Settlement","907-261-1084x0411","scotthernandez@example.net","Call","brownlisa","Jeremy Mcbride","eugene08","19394824","no","agreement","financial","like"
