"Product","Record Type","Account Number","Interest Rate","Loan Term(months)","Branch Code","Household"
"Savings Account","Servicing","247615252390703","0.5","24","B086","Secondary"
"Savings Account","New Application","783895503037328","1.0","36","B088","Low Income"
"Personal Loan","Servicing","438440683917496","0.9","72","B060","Primary"
"Savings Account","Closed","052041070404837","0.6000000000000001","84","B032","Secondary"
"Personal Loan","New Application","025060716506487","0.6000000000000001","12","B018","High Income"
"Savings Account","New Application","118981047320038","0.7000000000000001","60","B087","Secondary"
"Checking Account","Servicing","784277666005000","0.5","36","B054","Low Income"
"Savings Account","New Application","465452450431567","0.6000000000000001","36","B066","Primary"
"Personal Loan","Closed","330158195118103","0.9","60","B056","Low Income"
"Savings Account","Closed","920764583643030","0.2","48","B047","High Income"
"Savings Account","Servicing","656802439364954","0.4","84","B077","Secondary"
"Savings Account","New Application","037635033547793","0.4","72","B048","High Income"
"Checking Account","Closed","291027312511680","0.2","84","B057","Secondary"
"Mortgage","New Application","626580900616214","0.7000000000000001","60","B081","Middle Income"
"Mortgage","New Application","210681308578636","0.9","36","B026","High Income"
"Savings Account","Closed","013487024816618","0.30000000000000004","12","B013","Low Income"
"Mortgage","New Application","972472819884888","0.1","60","B024","Middle Income"
"Checking Account","New Application","982553111073201","0.9","36","B042","Primary"
"Personal Loan","Closed","130430071102115","1.0","36","B045","Primary"
"Personal Loan","Closed","878930542337155","0.9","60","B017","Secondary"
"Mortgage","New Application","916331597377837","0.1","24","B079","High Income"
"Checking Account","Servicing","632359578230309","0.9","36","B061","Middle Income"
"Personal Loan","Closed","983126762631316","0.4","36","B010","Low Income"
"Mortgage","New Application","146407600074243","1.0","24","B068","Primary"
"Mortgage","Servicing","222234362107616","0.30000000000000004","48","B037","Primary"
"Mortgage","New Application","980711665911331","0.8","72","B095","Middle Income"
"Personal Loan","Closed","054812756999358","0.30000000000000004","60","B009","Low Income"
"Checking Account","Servicing","189583589843321","0.7000000000000001","36","B026","Middle Income"
"Checking Account","Servicing","774698770812354","0.7000000000000001","36","B040","Secondary"
"Checking Account","New Application","762781248332903","0.6000000000000001","72","B086","Middle Income"
"Mortgage","Servicing","357055071934711","0.2","84","B068","Primary"
"Mortgage","Servicing","953490433887467","0.9","84","B034","High Income"
"Mortgage","Closed","754862872870328","0.2","36","B046","Low Income"
"Personal Loan","New Application","042711911077793","0.9","36","B063","High Income"
"Mortgage","Closed","216338447304241","0.7000000000000001","72","B097","High Income"
"Checking Account","New Application","394311327993780","0.2","12","B095","Secondary"
"Checking Account","Closed","672607670176952","0.5","48","B018","Primary"
"Personal Loan","Servicing","093146549658693","0.1","36","B002","Secondary"
"Mortgage","Servicing","885762186771466","0.4","60","B093","Primary"
"Savings Account","Servicing","561591914082535","0.4","36","B038","Low Income"
"Savings Account","New Application","693303196037342","1.0","12","B047","Secondary"
"Checking Account","Servicing","556259454792856","1.0","84","B056","Low Income"
"Savings Account","Servicing","299483476198526","0.2","60","B024","Low Income"
"Mortgage","Servicing","334157553834620","0.6000000000000001","24","B009","Secondary"
"Checking Account","Closed","618452767672725","0.9","48","B074","Low Income"
"Mortgage","Closed","492883604111739","0.7000000000000001","36","B052","Primary"
"Savings Account","New Application","381312514160339","1.0","72","B051","Low Income"
"Mortgage","Servicing","641226405786807","0.5","24","B067","Low Income"
"Checking Account","Closed","808725765672420","1.0","84","B061","Middle Income"
"Personal Loan","New Application","304353615662864","0.4","12","B048","High Income"
"Mortgage","New Application","366909812693490","1.0","60","B089","Low Income"
"Checking Account","Closed","898738183192782","0.4","72","B099","Primary"
"Personal Loan","Servicing","001939086278346","0.1","24","B026","High Income"
"Mortgage","Servicing","311015727881194","0.8","12","B063","Middle Income"
"Personal Loan","New Application","552712950644790","0.7000000000000001","60","B038","Low Income"
"Personal Loan","New Application","947380581294896","0.6000000000000001","72","B031","Low Income"
"Personal Loan","Closed","440278194571687","0.9","12","B013","Middle Income"
"Mortgage","New Application","087303726680725","0.4","12","B097","High Income"
"Savings Account","Servicing","700112255157004","0.4","72","B008","High Income"
"Checking Account","Servicing","403701223124974","0.30000000000000004","36","B042","Primary"
"Checking Account","New Application","734134253602893","0.8","72","B021","Low Income"
"Savings Account","Closed","922758707353800","0.1","24","B085","Secondary"
"Mortgage","New Application","584730841642494","0.4","36","B042","High Income"
"Savings Account","Servicing","191761573088959","0.8","60","B044","Secondary"
"Mortgage","Servicing","817796138428653","0.4","36","B033","Primary"
"Savings Account","Servicing","495320696815604","0.2","24","B096","Middle Income"
"Checking Account","New Application","429384401463680","0.6000000000000001","84","B052","High Income"
"Personal Loan","New Application","203035374955795","0.5","48","B029","Low Income"
"Mortgage","Servicing","103207315980833","1.0","60","B065","Low Income"
"Personal Loan","Servicing","802227272297605","0.6000000000000001","84","B041","Low Income"
"Personal Loan","Servicing","219178275348336","0.2","24","B029","Low Income"
"Mortgage","Servicing","403741558923032","0.30000000000000004","84","B036","Primary"
"Checking Account","Servicing","169018861022973","0.2","24","B019","Low Income"
"Checking Account","Servicing","650172555862708","0.1","24","B020","Secondary"
"Mortgage","New Application","012519525533403","0.2","24","B042","Middle Income"
"Savings Account","Servicing","022434823163969","0.4","60","B062","High Income"
"Checking Account","Closed","664282637532312","0.30000000000000004","84","B015","Secondary"
"Mortgage","New Application","258362903992554","0.9","84","B028","Low Income"
"Savings Account","Closed","192291411115294","0.8","72","B046","Low Income"
"Checking Account","Servicing","748022154257453","0.1","36","B081","High Income"
"Personal Loan","Servicing","367012633239743","0.6000000000000001","12","B038","High Income"
"Checking Account","Closed","586204730498324","0.30000000000000004","72","B026","High Income"
"Personal Loan","New Application","218228610423491","0.7000000000000001","12","B048","Primary"
"Checking Account","Closed","241183698129834","0.6000000000000001","36","B036","Low Income"
"Mortgage","Servicing","884754804633500","0.5","24","B032","High Income"
"Savings Account","Closed","367833411176279","0.8","48","B060","High Income"
"Checking Account","Closed","448599388574078","0.2","72","B028","Middle Income"
"Checking Account","Closed","497448654110868","0.9","72","B041","Low Income"
"Mortgage","New Application","079431262711464","0.4","60","B049","Low Income"
"Savings Account","New Application","850654963574286","0.7000000000000001","36","B096","Low Income"
"Checking Account","Servicing","734442500585457","0.30000000000000004","12","B039","Primary"
"Savings Account","Closed","159646560445898","1.0","36","B027","Primary"
"Mortgage","Servicing","540565476563150","0.8","36","B086","Middle Income"
"Mortgage","New Application","264336020664445","0.7000000000000001","60","B032","Middle Income"
"Checking Account","New Application","096808951724644","1.0","36","B054","Middle Income"
