"Username","CIF"
"fhaynes.","9132756153"
"@christina38","4138131091"
"@tiffany05","4216739536"
"awalsh.","2328668522"
"@nhansen","6073950243"
"lopezariana11","8257109785"
"@alvarezann","1685186399"
"brandonmiller.lgibson","2081635609"
"reevesgregory_a6b","2262881768"
"jameskeller_38","4745909200"
"@vanessarobinson","1527418446"
"@stephanie74","2379407226"
"umartinez.","7152589495"
"ashleywhite.","7027524026"
"castromargaret.morristimothy","2992643794"
"@bobbyrobertson","4743991212"
"@joshua83","6442351633"
"jose24_b","4140868525"
"@nabbott","2529452398"
"johnsonjacqueline36","6836246074"
"daniel03_kcb","2992800736"
"owilliams26","4954321275"
"johnwest_0uh","0473145654"
"ejohnson.29","1256244592"
"kimberly96_ibv","6046599838"
"thomas7774","4690007817"
"emcdowell.floresmelvin","6649465328"
"andrewjones.","0647652814"
"john33_9","1166775076"
"millermatthew_7gc","9036574494"
"@walkerpatrick","8063796694"
"sandra47_a5q","3236496069"
"rdelgado_5yr78","7657502455"
"wendy3897","4385483277"
"fowlerthomas_q","7111930942"
"zgibbs.60","6637728775"
"joehall48","0885116449"
"@jefferymartinez","8592380492"
"@amyhendricks","4413924392"
"sperez.84","2084845337"
"jennifer7129","0896697125"
"@hwalton","8225817549"
"toddgallagher83","6452592213"
"bauerjustin.78","2739002161"
"davidjennings_5ot","5969019780"
"@ycoffey","6847847636"
"@kaitlin66","3095490864"
"petersjohn_tw","8232222060"
"ricky8242","5011586886"
"veronicawallace_ffck","4095200094"
"kaylamiller_wtx","4559307624"
"lindseydiaz32","5802095550"
"michael1083","9738468756"
"@dylan61","2486254088"
"lowejasmine_de9n","1065253438"
"matthewharper67","2042320813"
"nicoledyer14","4694769739"
"hmurphy25","3208502632"
"christopher91.","4152154581"
"@pamelawhite","9031288606"
"xbarber39","7592339502"
"beckricardo_az9be","8789031461"
"henrycooke_wipu","0292046374"
"gregorybenson76","8605442265"
"yscott18","0607894647"
"allison3496","2565045978"
"tbrown_xnar","0938682551"
"rpoole_tde","4946299440"
"maddenbenjamin_8","4278575823"
"royshepard88","7960471551"
"@kelly53","5354520147"
"@laurarichardson","5012590098"
"shawnleach.91","5949898639"
"kingbrett.","9932053595"
"susan32.mary74","7016890324"
"anthonywise_x","0794114995"
"rubenjames82","5911549196"
"craig55.68","9820628838"
"nathan37_4c01","0167650051"
"colesheena_loeo8","8649940552"
"@bkoch","3167061916"
"@eingram","6287259444"
"timothywalker_qs1f","0466202588"
"ikeller.donna79","1557660288"
"mreese_g1c7v","6936979524"
"frankalvarado49","1897954742"
"kaiseraimee34","9717970166"
"qdavis60","0362067545"
"leah59.76","0664581679"
"@gregorymurray","4138818101"
"@emaldonado","2210382324"
"kmiller_1","9376729094"
"reginaldnichols_df","0327789861"
"christie64.amywoodard","7866758833"
"johndixon84","5603706216"
"harrishailey_u7l","1903192299"
"@eric59","6910023864"
"@barajasdavid","3673512127"
"vclark12","1933049709"
"vcurtis.","8409140655"
"davidbishop28","7868306730"
"@xday","9802507410"
"@kristy31","9176813533"
"davidpierce.qbaker","6353689739"
"melissa25.johnsonmichelle","6345396819"
"@michael30","5522490505"
"@mwatson","4861964334"
"pereztonya_qu","5521492608"
"geraldfrazier34","0149709079"
"dmatthews_l6k","4354131211"
"lewislaura.laura64","5145042928"
"dillonandrea76","9448625730"
"sabrina02.rodriguezheidi","6838552481"
"millerjason35","1222268153"
"ndavis33","9707194941"
"saracoleman_8716","4857316958"
"benitezmatthew.16","4647014155"
"meganmoore.76","6303343688"
"@jacobcarr","5869483604"
"@richardsondaniel","4446164281"
"uhernandez48","6770306001"
"brian7478","3963087818"
"maxingram.","7692003370"
"gibsonthomas.glong","0875809146"
"mgibson.","3210799392"
"nathanjames.jeffreycoleman","7741059196"
"@smithryan","8707623486"
"nunezsharon.kmyers","2365604618"
"millerelizabeth.","6876199615"
"ltyler.64","1410236677"
"fjones_efj","4278046499"
"zacharyosborne_s","5705512407"
"@aprilstephens","3253013056"
"deannabates.johnsonsusan","5074206409"
"jenny16_2","5538273679"
"lunaeugene72","1873375475"
"christopher59.60","3176827539"
"kramerwilliam_5r4","8336374476"
"@rebeccarodriguez","4383204993"
"jennifer4276","5491348982"
"smithrussell82","1626461137"
"juan77.","7927736276"
"@sarahkennedy","9257489506"
"@jadematthews","1945247589"
"caitlin2068","8657724840"
"courtneymorris_k29d","4302777566"
"sreynolds.69","7911580400"
"john48.17","4175141352"
"kimberly6420","5270621996"
"joseph85.50","2591775531"
"@tamarafloyd","9890289331"
"georgekennedy31","7990052570"
"spearslisa_jlop","3392360512"
"lcummings.16","3192149474"
"matthew10_arqzv","3957179611"
"@ericaguerra","8232358919"
"@brent69","9118351522"
"cnavarro.marshallcynthia","4698681830"
"liubrittany_jne","1215632392"
"simpsonlaura.","3517657220"
"patrickdaniels36","7975690633"
"patricia20.21","3947537215"
"santiagokevin78","8811862221"
"@chadleon","3579763271"
"cadkins74","7389070213"
"@william34","8489740242"
"ramirezbrenda94","1249487768"
"joshuamcdaniel_6o","6916140772"
"lisa0549","9169510654"
"@cindy30","3663326518"
"gregorylong.sydneydiaz","6120177102"
"rblake52","9673880248"
"lori04_no68","5239797816"
"robinsonandrew90","9695579173"
"@jacob82","4992528343"
"ygreen_qaz","9528379242"
"@xlong","6044006798"
"jessica11.13","4771390410"
"amanda9956","2717695746"
"marcohoward_s91","8816556925"
"xspencer84","1212942096"
"@denisemendez","8786276214"
"rebeccagonzalez43","6357839648"
"bradleywilliams65","0870172264"
"@maria64","9582177369"
"amber65.","4494599976"
"brendaperry_vb","9814717988"
"@jameseric","5642067973"
"annakelly97","2266953086"
"xlevy10","8764618546"
"victoriajackson55","0656658122"
"imayo_2","7332812804"
"jjimenez73","0546826343"
"dthomas_qpvuf","3285348755"
"lisaturner32","3482733905"
"wadams78","6088429342"
"williamsonelizabeth_gn5","2371512305"
"reidlawrence.39","3927272839"
"joneskenneth96","0027569425"
"michael75.","0540360289"
"chambersderrick_u","0741917896"
"shellysanchez_mvmf","4334812547"
"@nicholevargas","6053177134"
"serranomonique_1","0460307319"
"hjohnson25","1128839168"
"@ubeard","1762320116"
"@cpetty","6959272295"
"@brandon03","4961518729"
"justinkoch70","7833396598"
"erichardson.18","8225889701"
"@michaeladams","3349155862"
"wagneralexis42","3306347883"
"@hollandsavannah","6147316937"
"@tromero","6241121180"
"@timothyhale","9948883516"
"monica16.longtyler","4975530840"
"meyermichelle.noahrose","2977085394"
"ericfoster_b87c","9349067899"
"@martinwilliam","9383764039"
"sanchezrichard.","6220345352"
"sandra0394","7561838061"
"ggonzalez77","7363537473"
"garnersophia.suzanne03","3065441174"
"@davisashlee","4879088235"
"@rstewart","9468567383"
"@rdyer","0341948283"
"jessica40_g3yr","4891101399"
"alexis9863","9854585584"
"vmaldonado.","5267568757"
"melindadixon89","7907673298"
"carlawright.nicole83","5772654601"
"@ymurphy","5167183029"
"@daniel47","5445212495"
"kristinlowe.castrojoshua","2346707050"
"cheryl62.40","5662829216"
"prichardson.donaldgilbert","0932944694"
"coreyreynolds14","1387166933"
"@jason89","8625560934"
"@ulewis","0844754682"
"awelch_xk","2508512599"
"@amanda51","1431645327"
"kyle15.17","2478015296"
"abrown69","8960591675"
"pmartinez_p5c","5427501352"
"jeffreyellis18","4526290114"
"@vmitchell","9741896057"
"ebrown.96","7471316508"
"@frobinson","7007222811"
"huntermelissa98","6914215297"
"@john02","9023001671"
"iparker_q","0120181484"
"zturner_n","0416313511"
"lfuller.38","6441367160"
"@carlsonstephen","8295562254"
"mwoods84","4509540225"
"villegaskelly_mkbj","7094290097"
"@lewisedward","5018198180"
"@bhess","8590784993"
"cward.","5532578177"
"suzanneanderson26","8587911337"
"williamschelsea14","4214862920"
"eatondeborah.45","0040687206"
"@matthew06","2605289827"
"ijames20","1402002658"
"@dmcdaniel","9116956766"
"alicia55_x2f","7400177210"
