Ticket_ID,Call_Type_ID,Call_Type,Create_Date,gateway,Jenis_Laporan,Nama_Nasabah,No_Rekening,Nominal,status,TanggalClosed,tanggalTransaksi,Chanel,Fitur,Nomor_Kartu,user_group,assgined_to,attachment_done,email,full_name,no_telepon,approver_login,approver_name,SLAResolution,submitter_login_id,submitter_user_group,user_login_name,Jenis_Produk,Last_Modified_By,Merchant_ID,Modified_Date,NOTAS,Produk,SLA_Status,TID,tanggalAttachmentDone,Tgl_Assigned,Tgl_Eskalasi,AnalisaSkils,Attachment_,Bank_BRI,Biaya_Admin,Suku_Bunga,Bunga,Butuh_Attachment,Cicilan,Hasil_Kunjungan,Log_Name,MMS_Ticket_Id,Mass_Ticket_Upload_Flag,Nama_Supervisor,Nama_TL,Nama_Wakabag,Nasabah_Prioritas,Notify_By,Organization,Output_Settlement,phone_survey,Return_Ticket,Settlement_By,Settlement_ID,Settlement,Site_User,Status_Return,Status_Transaksi,Submitter_Region,Submitter_SiteGroup,Submitter_User_group_ID,Tanggal_Settlement,Tgl_Foward,Tgl_In_Progress,Tgl_Returned,Ticket_Referensi,Tiket_Urgency,Tipe_Remark,UniqueID,users,Usergroup_ID
TTB000043833835,8701,Blokir Kartu ATM karena kartu hilang,2023-01-01 07:07:15,Phone,Maintenance,Anwar,123456789012345,0.00,Closed,,,,Blokir Kartu,5221234567890120,LCC-CCTCALL,,,,Meli Rahayu,081234567890,,,20,60872,LCC-CCTCALL,Meli Rahayu,Tabungan,60872,,,,Simpanan,Met,,,,,,,BRI,,,,No,,,Meli Rahayu .,,No,Dika Purwarini,,,No,,Bank BRI,,,,,,No,00196 -- KANWIL Semarang,,,Semarang,KANWIL Semarang,4,,,,,,,Notes,,Call,4
TTB000043833951,8202,Informasi Product Banking,2023-01-01 07:06:39,Phone,Information,Budi,123456789012345,0.00,Closed,,,,,,LCC-CCTCALL,,,,Warsiyah,180,90022934,Adhi Nitidharma,20,90121799,LCC-CCTCALL,Warsiyah,Informasi Produk,90121799,,,,Simpanan,Met,,,,,,No,BRI,1672531599.00,,,No,,,,,No,,,,No,,Bank BRI,,,,,,No,00229 -- Kas Kanpus,,,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,4
TTB000043833734,8701,Blokir Kartu ATM karena kartu hilang,2023-01-01 07:05:16,Phone,Maintenance,Ceshy,123456789012345,0.00,Closed,,,,Blokir Kartu,5221234567890120,LCC-CCTCALL,,,,Dian Pratiwi,081234567890,,,20,60757,LCC-CCTCALL,Dian Pratiwi,Tabungan,60757,,,,Simpanan,Met,,,,,,,BRI,,,,No,,,Dian Pratiwi .,,No,Dika Purwarini,,,No,,Bank BRI,,,,,,No,00196 -- KANWIL Semarang,,,Semarang,KANWIL Semarang,4,,,,,,,Notes,,Call,4
TTB000043833965,8413,Nasabah BRI gagal tarik tunai & terdebet di ATM Link,2023-01-01 07:04:46,Phone,Complain,Dion Fury,123456789012345,2500000.00,Closed,,,ATM BANK LAIN,Tarik Tunai-Terdebet,5221234567890120,LCC-ISSUER,,,,Adam Siraj,081234567890,,,14,90150225,LCC-CCTCALL,Adam Siraj,Tabungan,bricare_admin,,,,Simpanan,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,,,,No,,Bank BRI,Insert Ticket Berhasil,,,428,,Yes,00229 -- Kas Kanpus,,Berhasil,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,1
TTB000043833833,8602,BRIMO,2023-01-01 07:04:38,Phone,Information,Erna Mira Putri,,0.00,Closed,,,Aplikasi,Registrasi BRImo,,LCC-CCTCALL,,,,Aulia Giyan Franciska,081234567890,90022934,Adhi Nitidharma,20,90150406,LCC-CCTCALL,Aulia Giyan Franciska,Tabungan,90150406,,,,Simpanan,Met,,,,,,Yes,BRI,1672531478.00,,,No,,,,,No,,,,,,Bank BRI,,,,,,No,00229 -- Kas Kanpus,,,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,4
TTB000043833961,8701,Blokir Kartu ATM karena kartu hilang,2023-01-01 07:04:22,Phone,Information,Ferry,123456789012345,0.00,Closed,,,,Blokir Kartu,5221234567890120,LCC-CCTCALL,,,,Arnis Istiqomah,081234567890,90022934,Adhi Nitidharma,20,90144459,LCC-CCTCALL,Arnis Istiqomah,Tabungan,90144459,,,,Simpanan,Met,,,,,,No,BRI,1672531462.00,,,No,,,,,No,,,,No,,Bank BRI,,,,,,No,00229 -- Kas Kanpus,,,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,4
TTB000043833968,8413,Nasabah BRI gagal tarik tunai & terdebet di ATM Link,2023-01-01 07:04:13,Phone,Complain,Ghany,123456789012345,1200000.00,Closed,,,ATM BANK LAIN,Tarik Tunai-Terdebet,5221234567890120,LCC-ISSUER,,,,Miranda Anggraini,081234567890,,,14,90151655,LCC-CCTCALL,Miranda Anggraini,Tabungan,bricare_admin,,,,Simpanan,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,,,,No,,Bank BRI,Insert Ticket Berhasil,,,428,,Yes,00229 -- Kas Kanpus,,Gagal,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,1
TTB000043833831,8201,Informasi Status rekening; limitasi; penyetoran; no rekening tujuan,2023-01-01 07:03:06,Phone,Information,Husni,,0.00,Closed,,,EDC,Informasi,,LCC-CCTCALL,,,,DINAR TRI WAHYUNI,081234567890,90022934,Adhi Nitidharma,20,90140018,LCC-CCTCALL,DINAR TRI WAHYUNI,Tabungan,90140018,,,,Simpanan,Met,,,,,,No,BRI,1672531386.00,,,No,,,,,No,,,,,,Bank BRI,,,,,,No,00229 -- Kas Kanpus,,,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,4
TTB000043833996,8915,Gagal Setor Tunai di CRM BRI Via BRImo / Kartu Debit,2023-01-01 07:10:20,BRIMO,Complain,Irwan,123456789012345,300000.00,Closed,,,CRM,Setor Tunai - gagal dengan Kartu Debit,5221234567890120,LCC-ON US,,,,,081234567890,,,10,,,,Tabungan,bricare_admin,,,,Simpanan,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Indri Edriati,,,,,Bank BRI,Insert Ticket Berhasil,,,ADMIN_DRONE,,Yes,,,Gagal,,,4,,,,,,,Notes,NBMB496204765772,Non Call,6
TTB000043833840,8808,Pembayaran PLN Prabayar Gagal namun Saldo Terdebet,2023-01-01 07:09:47,Phone,Information,Jordi,123456789012345,0.00,Closed,,,ATM,Transaksi,5221234567890120,LCC-ISSUER,,,,Maya Ikhlasiyah,,,,20,90121639,LCC-CCTCALL,Maya Ikhlasiyah,Tabungan,90121639,,,,Simpanan,Met,,,,,,No,BRI,1672531787.00,,,No,,,,,No,,,,No,,Bank BRI,,,,,,Yes,00229 -- Kas Kanpus,,,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,1
TTB000043833992,8812,Nasabah BRI gagal tarik tunai & terdebet di ATM BRI,2023-01-01 07:09:26,BRIMO,Complain,Kesya,123456789012345,1000000.00,Closed,,,ATM BRI,Tarik Tunai,5221234567890120,LCC-ON US,,,,,081234567890,,,8,,,,Tabungan,bricare_admin,,,,Simpanan,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Indri Edriati,,,,,Bank BRI,Insert Ticket Berhasil,,,ADMIN_DRONE,,Yes,,,Gagal,,,4,,,,,,,Notes,NBMB496204648450,Non Call,6
TTB000043833991,8812,Nasabah BRI gagal tarik tunai & terdebet di ATM BRI,2023-01-01 07:09:22,BRIMO,Complain,Lurna,123456789012345,1250000.00,Closed,,,ATM BRI,Tarik Tunai,5221234567890120,LCC-ON US,,,,,081234567890,,,8,,,,Tabungan,bricare_admin,,,,Simpanan, Missed,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Indri Edriati,,,,,Bank BRI,Insert Ticket Berhasil,,,ADMIN_DRONE,,Yes,,,Berhasil,,,4,,,,,,,Notes,NBMB496204638045,Non Call,6
TTB000043833990,8812,Nasabah BRI gagal tarik tunai & terdebet di ATM BRI,2023-01-01 07:09:19,BRIMO,Complain,Morina,123456789012345,100000.00,Closed,,,ATM BRI,Tarik Tunai,5221234567890120,LCC-ON US,,,,,081234567890,,,8,,,,Tabungan,bricare_admin,,,,Simpanan,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Indri Edriati,,,,,Bank BRI,Insert Ticket Berhasil,,,ADMIN_DRONE,,Yes,,,Gagal,,,4,,,,,,,Notes,NBMB496204634594,Non Call,6
TTB000043833987,8915,Gagal Setor Tunai di CRM BRI Via BRImo / Kartu Debit,2023-01-01 07:08:42,BRIMO,Complain,Najwa,123456789012345,600000.00,Closed,,,CRM,Setor Tunai - gagal dengan Kartu Debit,5221234567890120,LCC-ON US,,,,,081234567890,,,10,,,,Tabungan,bricare_admin,,,,Simpanan,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Indri Edriati,,,,,Bank BRI,Insert Ticket Berhasil,,,ADMIN_DRONE,,Yes,,,Berhasil,,,4,,,,,,,Notes,NBMB496204555230,Non Call,6
TTB000043833984,8433,Pembayaran Tagihan Gagal; Saldo Berkurang,2023-01-01 07:07:55,BRIMO,Complain,Okky,"1,23457E+14",280000.00,Closed,,,ATM BRI,Pembayaran,5221234567890120,LCC-ISSUER,,,,,081234567890,,,20,,,,Tabungan,bricare_admin,,,,Simpanan,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Dewi Kartika Sari,,,,,Bank BRI,Insert Ticket Berhasil,,,428,,Yes,,,Gagal,,,4,,,,,,,Notes,NBMB496204454452,Non Call,1
TTB000043833971,8602,BRIMO,2023-01-01 07:04:37,Phone,Information,Puput,,0.00,Closed,,,Aplikasi,User ID terblokir,,LCC-CCTCALL,,,,Alang Bagus Sakariti,081234567890,90022934,Adhi Nitidharma,20,90107912,LCC-CCTCALL,Alang Bagus Sakariti,Tabungan,90107912,,,,Simpanan,Met,,,,,,Yes,BRI,1672531477.00,,,No,,,,,No,,,,No,,Bank BRI,,,,,,No,00229 -- Kas Kanpus,,,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,4
TTB000043833974,8812,Nasabah BRI gagal tarik tunai & terdebet di ATM BRI,2023-01-01 07:04:28,BRIMO,Complain,Qory,123456789012345,1000000.00,Closed,,,ATM BRI,Tarik Tunai,5221234567890120,LCC-ON US,,,,,081234567890,,,8,,,,Tabungan,bricare_admin,,,,Simpanan,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Indri Edriati,,,,,Bank BRI,Insert Ticket Berhasil,,,ADMIN_DRONE,,Yes,,,Gagal,,,4,,,,,,,Notes,NBMB496204016908,Non Call,6
TTB000043833970,8413,Nasabah BRI gagal tarik tunai & terdebet di ATM Link,2023-01-01 07:02:58,BRIMO,Complain,Risnawati,123456789012345,500000.00,Closed,,,ATM BANK LAIN,Tarik Tunai-Terdebet,5221234567890120,LCC-ISSUER,,,,,081234567890,,,14,,,,Tabungan,bricare_admin,,,,Simpanan,Met,,,,,,,BRI,,,,No,,,BRICare Administrator,,No,Dewi Kartika Sari,,,,,Bank BRI,Insert Ticket Berhasil,,,428,,Yes,,,Berhasil,,,4,,,,,,,Notes,NBMB496203828123,Non Call,1
TTB000043833969,8701,Blokir Kartu ATM karena kartu hilang,2023-01-01 07:02:58,Phone,Information,Susilo,123456789012345,0.00,Closed,,,,Blokir Kartu,5221234567890120,LCC-CCTCALL,,,,Imas Prapitasari,081234567890,90022934,Adhi Nitidharma,20,90136579,LCC-CCTCALL,Imas Prapitasari,Tabungan,90136579,,,,Simpanan,Met,,,,,,No,BRI,1672531378.00,,,No,,,,,No,,,,No,,Bank BRI,,,,,,No,00229 -- Kas Kanpus,,,KAS KANPUS,Kas Kanpus,4,,,,,,,Notes,,Call,4
